,Week,Month,M,T,W,T,F,S,S
單/雙週,週,月,一,二,三,四,五,六,日
單,1,September,,1,2,3,4,5,6
雙,2,September,7,8,9,10,11,12,13,
單,3,September,14,15,16,17,18,19,20,
雙,4,September,21,22,23,24,25,26,27
單,5,September,28,29,30,,,,
單,5,October,,,,1,2,3,4
雙,6,October,5,6,7,8,9,10,11,
單,7,October,12,13,14,15,16,17,18,
雙,8,October,19,20,21,22,23,24,25
單,9,October,26,27,28,29,30,31,
單,9,November,,,,,,,1
雙,10,November,2,3,4,5,6,7,8,
單,11,November,9,10,11,12,13,14,15
雙,12,November,16,17,18,19,20,21,22,
單,13,November,23,24,25,26,27,28,29
雙,14,November,30,,,,,,
雙,14,December,,1,2,3,4,5,6
單,15,December,7,8,9,10,11,12,13,
雙,16,December,14,15,16,17,18,19,20,
單,17,December,21,22,23,24,25,26,27,
雙,18,December,28,29,30,31,,,
雙,18,January,,,,,1,2,3
單,19,January,4,5,6,7,8,9,10
雙,20,January,11,12,13,14,15,16,17,
單,21,January,18,19,20,21,22,23,24
雙,22,January,25,26,27,28,29,30,31
單,23,February,1,2,3,4,5,6,7
雙,24,February,8,9,10,11,12,13,14
單,25,February,15,16,17,18,19,20,21
雙,26,February,22,23,24,25,26,27,28
單,27,March,1,2,3,4,5,6,7
雙,28,March,8,9,10,11,12,13,14
單,29,March,15,16,17,18,19,20,21
雙,30,March,22,23,24,25,26,27,28
單,31,March,29,30,31,,,,
單,31,April,,,,1,2,3,4
雙,32,April,5,6,7,8,9,10,11
單,33,April,12,13,14,15,16,17,18
雙,34,April,19,20,21,22,23,24,25
單,35,April,26,27,28,29,30,,
單,35,May,,,,,,1,2
雙,36,May,3,4,5,6,7,8,9
單,37,May,10,11,12,13,14,15,16,
雙,38,May,17,18,19,20,21,22,23,
單,39,May,24,25,26,27,28,29,30
雙,40,May,31,,,,,,
雙,40,June,,1,2,3,4,5,6
單,41,June,7,8,9,10,11,12,13,
雙,42,June,14,15,16,17,18,19,20,
單,43,June,21,22,23,24,25,26,27
雙,44,June,28,29,30,,,,
雙,44,July,,,,1,2,3,4
單,45,July,5,6,7,8,9,10,11,
雙,46,July,12,13,14,15,16,17,18,
單,47,July,19,20,21,22,23,24,25
雙,48,July,26,27,28,29,30,31,
雙,48,August,,,,,,,1
單,49,August,2,3,4,5,6,7,8
雙,50,August,9,10,11,12,13,14,15,
單,51,August,16,17,18,19,20,21,22,
雙,52,August,23,24,25,26,27,28,29
單,53,August,30,31,,,,,
